stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
KLIA_04,04,KLIA 1 2,2.75465032,101.70201218,
KLIA_04R,04R,KLIA 1 2,2.75465032,101.70201218,
AAPRT_AAPRT,AAPRT,ANGGERIK APARTMENT 1,2.83765170,101.78669929,
AEONS2_AEONS2,AEONS2,AEON SEREMBAN 2,2.69906834,101.91109478,
AEONS2_AEONS2R,AEONS2R,AEON SEREMBAN 2,2.69901282,101.91101030,
AEONS2_ASB2,ASB2,AEON SEREMBAN 2,2.69943631,101.91274225,
AEONS2_ASB2R,ASB2R,AEON SEREMBAN 2,2.69943631,101.91274225,
AGPANS_AGPANS,AGPANS,ANGKATAN PERTAHANAN AWAM NEGERI SEMBILAN,2.72430257,101.90464467,
AGPANS_AGPANSR,AGPANSR,ANGKATAN PERTAHANAN AWAM NEGERI SEMBILAN,2.72430257,101.90464467,
ALIRSHAD_ALIRSHAD,ALIRSHAD,PUSAT PENDIDIKAN AL IRSHAD,2.75098542,101.82290257,
ALIRSHAD_ALIRSHADR,ALIRSHADR,PUSAT PENDIDIKAN AL IRSHAD,2.75098542,101.82290257,
AP2_AP2,AP2,ANGGERIK APARTMENT 2,2.83765170,101.78669929,
ARWI_ARWI,ARWI,AROWANA INDAH,2.68166928,101.91048324,
ARWI_ARWIR,ARWIR,AROWANA INDAH,2.68139599,101.91155612,
ARWI_AI,AI,AROWANA INDAH,2.68231381,101.91431313,
ARWI_AIR,AIR,AROWANA INDAH,2.68231381,101.91431313,
BANKISLAM_BANKISLAM,BANKISLAM,BANK ISLAM TAMPIN,2.47120289,102.23176226,
BANKISLAM_BANKISLAMR,BANKISLAMR,BANK ISLAM TAMPIN,2.47120289,102.23176226,
BATU10_BATU10,BATU10,BATU 10,2.65901583,102.01983958,
BATU10_BATU10R,BATU10R,BATU 10,2.65901583,102.01983958,
BBA_BBA,BBA,BALAI BOMBA SEREMBAN 2,2.68855000,101.92141166,
BBA_BBAR,BBAR,BALAI BOMBA SEREMBAN 2,2.68662056,101.91916823,
BBA_BBA504R,BBA504R,BALAI BOMBA SEREMBAN 2,2.68638479,101.91877126,
BBA_BB,BB,BALAI BOMBA SEREMBAN 2,2.68638479,101.91877126,
BBA_BBA504,BBA504,BALAI BOMBA SEREMBAN 2,2.68638479,101.91877127,
BBRHG_T60,T60,BALAI BOMBA RAHANG,2.71436131,101.95116698,
BBRHG_T60R,T60R,BALAI BOMBA RAHANG,2.71436131,101.95116698,
BBRHG_BBRHG,BBRHG,BALAI BOMBA RAHANG,2.71436131,101.95116699,
BBRHG_BBRHGR,BBRHGR,BALAI BOMBA RAHANG,2.71436131,101.95116698,
BBST_BBST,BBST,BDR BARU SALAK TINGGI,2.81110865,101.73878968,
BBST_BBSTR,BBSTR,BDR BARU SALAK TINGGI,2.81110865,101.73878967,
BISL_BISL,BISL,BANK ISLAM,2.70796337,101.99372292,
BISL_BISLR,BISLR,BANK ISLAM,2.70796337,101.99372291,
BISL_BIR,BIR,BANK ISLAM,2.47120289,102.23176226,
BISL_BI,BI,BANK ISLAM,2.47120289,102.23176226,
BLOK5_BLOK5,BLOK5,BLOK5 JLN SEMARAK,2.82345333,101.81435823,
BLOK5_BLOK5R,BLOK5R,BLOK5 JLN SEMARAK,2.82345333,101.81435823,
BLOK7_BLOK7,BLOK7,BLOK 7 JLN SEMARAK,2.82341000,101.81229666,
BLOK7_BLOK7R,BLOK7R,BLOK 7 JLN SEMARAK,2.82341000,101.81229666,
BPLISPJM_BPLISPJM,BPLISPJM,BALAI POLIS PAJAM,2.84456329,101.84895337,
BPLISPJM_BPLISPJMR,BPLISPJMR,BALAI POLIS PAJAM,2.84456329,101.84895336,
BPMAKAH_BPMAKAH,BPMAKAH,BALAI POLIS MAHKAMAH,2.68548679,101.91827493,
BPMAKAH_BPMAKAHR,BPMAKAHR,BALAI POLIS MAHKAMAH,2.68548679,101.91827493,
BPPDS_BPPDS,BPPDS,BALAI POLIS PEDAS,2.61976985,102.05840975,
BPPDS_BPPDSR,BPPDSR,BALAI POLIS PEDAS,2.61976985,102.05840975,
BPRHG_BPR2,BPR2,BALAI POLIS RAHANG,2.71431309,101.95125281,
BPRHG_BPRR3,BPRR3,BALAI POLIS RAHANG,2.71431309,101.95125281,
BPRHG_BPRRRR4,BPRRRR4,BALAI POLIS RAHANG,2.71431309,101.95125281,
BPRHG_BPRHG1,BPRHG1,BALAI POLIS RAHANG,2.71431309,101.95125282,
BPRHG_BPR1,BPR1,BALAI POLIS RAHANG,2.71431309,101.95125281,
BSRNSTN_BS,BS,BANDAR SEREMBAN SELATAN,2.66919453,101.98524714,
BSRNSTN_BSRNSTNR,BSRNSTNR,BANDAR SEREMBAN SELATAN,2.66919453,101.98524713,
BT12KGGBK_BT12KGGBK,BT12KGGBK,BT 12 KG GEBOK,2.82926266,101.87713296,
BT12KGGBK_BT12KGGBKR,BT12KGGBKR,BT 12 KG GEBOK,2.82926266,101.87713296,
BT8JLNBSR_BT8JLNBSR,BT8JLNBSR,BATU 8 JALAN BESAR,2.80497266,101.91841305,
BT8JLNBSR_BT8JLNBSRR,BT8JLNBSRR,BATU 8 JALAN BESAR,2.80497266,101.91841305,
BT9_BT9,BT9,BATU 9,2.74560526,101.83735304,
BT9_BT9R,BT9R,BATU 9,2.74550693,101.83747169,
BTHMPR_BTHMPR,BTHMPR,BATU HAMPAR,2.59252134,102.08162427,
BTHMPR_BTHMPRR,BTHMPRR,BATU HAMPAR,2.59252134,102.08162426,
BTKGLMDR_BTKGLMDR,BTKGLMDR,BATU 11 KAMPUNG LAMBAR,2.76177971,101.81847789,
BTKGLMDR_BTKGLMDRR,BTKGLMDRR,BATU 11 KAMPUNG LAMBAR,2.76177971,101.81847789,
CALTEX2_CALTEX2,CALTEX2,CALTEX 2,2.81037461,101.80402100,
CEST_CEST,CEST,CAROTINA ESTATE,2.74504773,101.84203118,
CEST_CESTR,CESTR,CAROTINA ESTATE,2.74501750,101.84224307,
CGGULU_CGGULU,CGGULU,CHENGKAU ULU,2.52662626,102.15063214,
CGGULU_CGGULUR,CGGULUR,CHENGKAU ULU,2.52662626,102.15063214,
CHEM_CHEM,CHEM,CHEMPAKA MALL,2.80422901,101.77113175,
CHEM_CHEMR,CHEMR,CHEMPAKA MALL,2.80419150,101.77108347,
CHEM_CM,CM,CHEMPAKA MALL,2.80288032,101.76723600,
CHEM_CMR,CMR,CHEMPAKA MALL,2.80288032,101.76723600,
CIMBTS_CIMBTS,CIMBTS,CIMB TAMAN SEMARAK,2.82000284,101.81719601,
CIMBTS_CIMBTSR,CIMBTSR,CIMB TAMAN SEMARAK,2.81997069,101.81723356,
CIMBTS_CIMBTS512R,CIMBTS512R,CIMB TAMAN SEMARAK,2.81997069,101.81723356,
CIMBTS_CIMBTS512,CIMBTS512,CIMB TAMAN SEMARAK,2.81997069,101.81723356,
CIMBTS_CIMBR,CIMBR,CIMB TAMAN SEMARAK,2.81997069,101.81723356,
CNC_CNC,CNC,CYCLE N CARRIAGE,2.71410947,101.94960594,
CNC_CNCR,CNCR,CYCLE N CARRIAGE,2.71410947,101.94960594,
COLUMBIA_COLUMBIA,COLUMBIA,COLUMBIA HOSPITAL,2.71076405,101.91715422,
COLUMBIA_COLUMBIAR,COLUMBIAR,COLUMBIA HOSPITAL,2.71076405,101.91715421,
CPAT_CA,CA,CENTRAL PARK APARTMENT,2.69832558,101.90911012,
CPAT_CAR,CAR,CENTRAL PARK APARTMENT,2.69832558,101.90911012,
CPAT_CPAT,CPAT,CENTRAL PARK APARTMENT,2.69820563,101.90875053,
CPAT_CPATR,CPATR,CENTRAL PARK APARTMENT,2.69820563,101.90875053,
CPOI_CPOI,CPOI,CENTREPOINT,2.72180947,101.95572674,
CPOI_CPOIR,CPOIR,CENTREPOINT,2.72238817,101.95649385,
CPOI_CPOI1,CPOI1,CENTREPOINT,2.72238817,101.95649385,
CPOI_CPOI1R,CPOI1R,CENTREPOINT,2.72238817,101.95649385,
CTEX_CTEX,CTEX,CALTEX,2.80988168,101.80473447,
CTEX_CTEXR,CTEXR,CALTEX,2.80989775,101.80470228,
DESARIA_DESARIA,DESARIA,DESARIA,2.86389946,101.79829717,
DESARIA_DESARIAR,DESARIAR,DESARIA,2.86389946,101.79829716,
DHL_DHL,DHL,DHL,2.70448574,101.91723168,
DHL_DHLR,DHLR,DHL,2.70448574,101.91723167,
DN2_DN2,DN2,DATARAN NILAI 2,2.82061900,101.79057777,
DORBT8_DORBT8,DORBT8,DEWAN ORANG RAMAI BATU 8,2.74334455,101.85445726,
DORBT8_DORBT8R,DORBT8R,DEWAN ORANG RAMAI BATU 8,2.74334455,101.85445725,
DPB_DPB,DPB,DESA PINGGIRAN BAYU,2.82920235,101.87699854,
DPB_DPBR,DPBR,DESA PINGGIRAN BAYU,2.82920235,101.87699854,
DPB_DPBYU,DPBYU,DESA PINGGIRAN BAYU,2.82841473,101.87935292,
DPB_DPBYUR,DPBYUR,DESA PINGGIRAN BAYU,2.82841473,101.87935292,
DPSBN_DPSBN,DPSBN,DEWAN PERBANDARAN SEREMBAN,2.72349735,101.94098532,
DPSBN_DPSBNR,DPSBNR,DEWAN PERBANDARAN SEREMBAN,2.72349735,101.94098532,
DSJM_DSJMR,DSJMR,TMN DESA JASMIN,2.80659152,101.79003924,
DSJM_DSJM,DSJM,TMN DESA JASMIN,2.80659152,101.79003924,
